comment,moves,context,engine_eval,engine_best_line,engine_best_alternative
"Despite the awkwardness of it, Shapiro should have taken with the Bishop. But he reasons thus: why not take with the pawn and get rid of that pesky N/e5 once and for all? Now if White backs up the Knight, Black can play f5, Nf6, Qd7 and 0-0-0 -- he might even be able to use the g-file for an attack on White's King later on. Even ugly moves can give victory if they are not met resolutely. Fortunately for us, resolute play is Najdorf's strong suit! Can you guess what he uncorks here?",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Pawn takes on f6,Large advantage for White (eval: 398 centipawns),10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Bh6 Bf8 13. Bc4 Qe8 14. Qg4+ Kf7 15. Rfe1 Ne5 16. dxe5 Rg8 17. Qh5+ Rg6 18. exf6 Kg8 19. Bc1 ,9... Bxf6 
Let your imagination run wild and you will see that Nxf7 has all the earmarks of an excellent investment. First point: it's an offer Black can't refuse.,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Knight takes on f7,Large advantage for White (eval: 415 centipawns),10... Kxf7 11. Qh5+ Kg8 12. Bh6 Bf8 13. Bc4 Qe8 14. Qg4+ Kf7 15. Rfe1 Ne5 16. Rxe5 fxe5 17. Qf5+ Ke7 18. Qxe6+ Kd8 19. Bg5+ Be7 20. dxe5 a6 ,10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Bh6 Bf8 13. Bc4 Qe8 14. Qg4+ Kf7 15. Rfe1 Ne5 16. dxe5 Rg8 17. Qh5+ Rg6 18. exf6 Kg8 19. Bc1 
"Second point: White has at least a perpetual check now, since if nothing else he can keep going from g4-h5-g4+. Black can never set his King on a dark square or Bh6+ will be the end of him. For example: 11...Kg7 12.Bh6+ Kg8 13.Qg4+ Here's a delightful little line. 13...Kf7 14.Qg7+ Ke8 Now taking the Rook allows Black to play Nf8. Can you see a better idea? 15.Qg6+!! (15.Bg6+ hxg6 16.Qxg6#) 15...hxg6 16.Bxg6# Same effect, but a little more glamourous this way.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Queen to h5 with check,Large advantage for White (eval: 431 centipawns),11... Kg8 12. Bh6 ,11. Qh5+ Kg8 12. Re1 Nf8 13. Bh6 f5 14. Bc4 Bd5 15. Re3 Ng6 16. Rxe6 Nf4 17. Bxf4 Bxc4 18. Qxf5 Bf8 19. Rae1 Bg7 20. Re7 Qf8 21. Qg4 Qf6 22. Rxc7 Bf7 23. Ree7 Rf8 24. h4 Qg6 
"All of that demonstrates why Black must not put his King on a dark square. So we know, already, that White has at least a perpetual check in hand any time he wants it.Najdorf, of course, wants a good deal more than that. Now it's a sad but true fact that with the material aimed at the King right now, White cannot deliver checkmate. How can he best get another heavy piece into action? It will take a few moves to get a rook into action. Nevertheless, Najdorf starts the process.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays King to g8,Large advantage for White (eval: 412 centipawns),12. Bh6 Nf8 13. Qg4+ Kf7 14. Qg7+ Ke8 15. Qxh8 Qd5 16. Qg7 Qh5 17. Rfe1 Rd8 18. Be2 Qf5 19. Red1 Ng6 20. Qxh7 Nh4 ,11... Kg8 12. Bh6 
"Shapiro hunkers down to defend. Najdorf decides he'd like more open diagonals, thank-you-very-much.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Knight to f8,Large advantage for White (eval: 379 centipawns),13. Bh6 Qd5 14. Qg4+ Ng6 15. Rxe6 Kf7 16. Rae1 Bf8 17. Bxf8 Qxg2+ 18. Qxg2 Bxg2 19. Bc4 b5 20. Bb3 Kxf8 21. Rxf6+ Kg7 22. Rf7+ Kh6 23. Kxg2 Raf8 24. Re4 a5 25. Kg3 Rhg8 26. Rxf8 Rxf8 27. Be6 ,12... Nf8 13. Bh6 f5 14. Bc4 Bd5 15. Re3 Ng6 16. Rxe6 Nf4 17. Bxf4 Bxc4 18. Qxf5 Bxe6 19. Qxe6+ Kf8 20. Re1 a6 21. Bh6+ Ke8 22. Bg5 Qd6 23. Qxe7+ Qxe7 24. Rxe7+ Kf8 25. Rxc7 h5 26. g3 
"And yes, he'd like fries with that. Crispy french-fried Black pieces, please!",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Rook takes on e6,The position is equal,13... Nxe6 14. Bc4 Qd7 15. Qg4+ Kf7 16. Qh5+ ,13. Bh6 Qd5 14. Qg4+ Ng6 15. Rxe6 Kf7 16. Rae1 Bf8 17. Bxf8 Qxg2+ 18. Qxg2 Bxg2 19. Bc4 b5 20. Bb3 Kxf8 21. Rxf6+ Kg7 22. Rf7+ Kh6 23. Kxg2 Raf8 24. Re4 a5 25. Kg3 Rhg8 26. Rxf8 Rxf8 27. Be6 
The gift cannot be refused. But now White's lightsquare Bishop becomes a brilliant laser pinning down the Knight on the e-file.,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Knight takes on e6,The position is equal,14. Bc4 Qd6 15. Bh6 b5 16. Bb3 Rd8 17. Qg4+ Kf7 18. Qh5+ Kg8 ,13... Nxe6 14. Bc4 Qd7 15. Qg4+ Kf7 16. Qh5+ 
"Najdorf tightens the screws mercilessly. How can the Knight be defended? White has a grip on d5 thanks to his Queen's control of the fifth rank, so ...Bd5 is out of the question. That leaves only Bc8.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6 14. Bc4 Qd6 15. Bh6 Bf8 16. Re1,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Rook to e1,Large advantage for White (eval: 775 centipawns),16... Bxh6 17. Bxe6+ Qxe6 18. Rxe6 Bg5 19. Re7 Bd5 20. h4 Kf8 21. Rxc7 Bf4 22. Qxd5 Bxc7 23. Qxa8+ Kg7 24. Qxa7 Re8 25. Qxc7+ Kg8 26. Kh2 Re4 27. Qb8+ Kf7 28. Qb7+ Re7 29. Qxb6 Kg7 ,16. Re1 Bxh6 17. Bxe6+ Qxe6 18. Rxe6 Bg5 19. h4 Bd5 20. Re7 Kf8 21. Rxc7 Bf4 22. Qxd5 Bxc7 23. Qxa8+ Kg7 24. Qxa7 Re8 25. Qxc7+ Kg6 26. h5+ Kxh5 
Now Black's pieces are so awkwardly pinned and stuck together that it's almost a miracle he's not mated already. Najdorf gleefully adds another pin to the mix.,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6 14. Bc4 Qd6 15. Bh6 Bf8 16. Re1 Bc8,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Bishop to c8,Large advantage for White (eval: 915 centipawns),17. Qe8 b5 18. Rxe6 bxc4 19. Rxd6 Bf5 20. Qxa8 Kf7 21. Rd8 Bg7 22. Rxh8 Bxh8 23. Qxh8 c3 24. Qf8+ Ke6 25. Qe8+ Kd5 26. bxc3 Bxc2 27. f3 Be4 ,16... Bxh6 17. Bxe6+ Qxe6 18. Rxe6 Bg5 19. Re7 Bd5 20. h4 Kf8 21. Rxc7 Bf4 22. Qxd5 Bxc7 23. Qxa8+ Kg7 24. Qxa7 Re8 25. Qxc7+ Kg8 26. Kh2 Re4 27. Qb8+ Kf7 28. Qb7+ Re7 29. Qxb6 Kg7 
But now the threat is just Rxe6!! e.g. 17...a5 18.Rxe6 Bxe6 19.Qxe6+ Another nice little touch. This game is for the Bishops in our audience... 19...Qxe6 20.Bxe6#. I can well imagine that Shapiro was getting desperate hereabouts.,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6 14. Bc4 Qd6 15. Bh6 Bf8 16. Re1 Bc8 17. Qe8,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Queen to e8,Large advantage for White (eval: 796 centipawns),17... b5 18. Rxe6 bxc4 19. Rxd6 Bf5 20. Qxa8 Kf7 21. Qd5+ Kg6 22. g4 cxd6 23. Qxf5+ Kf7 24. Qd5+ Ke7 25. Bf4 c3 ,17. Qe8 b5 18. Rxe6 bxc4 19. Rxd6 Bf5 20. Qxa8 Kf7 21. Rd8 Bg7 22. Rxh8 Bxh8 23. Qxh8 c3 24. Qf8+ Ke6 25. Qe8+ Kd5 26. bxc3 Bxc2 27. f3 Be4 
"He offered to shed an entire Rook to relieve the immediate pressure. Najdorf, however, knows what to do with an open line.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6 14. Bc4 Qd6 15. Bh6 Bf8 16. Re1 Bc8 17. Qe8 Bd7,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Bishop to d7,Mate in 4 for White,18. Rxe6 Rxe8 19. Rxe8+ Be6 20. Bxe6+ Qxe6 21. Rxf8# ,17... b5 18. Rxe6 bxc4 19. Rxd6 Bf5 20. Qxa8 Kf7 21. Qd5+ Kg6 22. g4 cxd6 23. Qxf5+ Kf7 24. Qd5+ Ke7 25. Bf4 c3 
This stunning sacrifice brings down the house.,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6 14. Bc4 Qd6 15. Bh6 Bf8 16. Re1 Bc8 17. Qe8 Bd7 18. Rxe6,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Rook takes on e6,Mate in 3 for White,18... Rxe8 19. Rxe8+ Be6 20. Bxe6+ Qxe6 21. Rxf8# ,18. Rxe6 Rxe8 19. Rxe8+ Be6 20. Bxe6+ Qxe6 21. Rxf8# 
Discovered check!,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6 14. Bc4 Qd6 15. Bh6 Bf8 16. Re1 Bc8 17. Qe8 Bd7 18. Rxe6 Rxe8 19. Rxe8+,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Rook takes on e8 with check,Mate in 2 for White,19... Be6 20. Bxe6+ Qxe6 21. Rxf8# ,19. Rxe8+ Be6 20. Bxe6+ Qxe6 21. Rxf8# 
Some form of interposition is forced.,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6 14. Bc4 Qd6 15. Bh6 Bf8 16. Re1 Bc8 17. Qe8 Bd7 18. Rxe6 Rxe8 19. Rxe8+ Be6,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Bishop to e6,Mate in 2 for White,20. Bxe6+ Qxe6 21. Rxf8# ,19... Be6 20. Bxe6+ Qxe6 21. Rxf8# 
"The final mating position is reminiscent of the ""Opera Box Game"" Morphy v. Allies. Note, in particular, that the mate is carried out with White's two remaining pieces, and that throughout the whole of this brevity Najdorf has wasted not a single move on wing pawns. This is imaginative play of a very high order!",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+ gxf6 10. Nxf7 Kxf7 11. Qh5+ Kg8 12. Re1 Nf8 13. Rxe6 Nxe6 14. Bc4 Qd6 15. Bh6 Bf8 16. Re1 Bc8 17. Qe8 Bd7 18. Rxe6 Rxe8 19. Rxe8+ Be6 20. Bxe6+ Qxe6 21. Rxf8#,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Rook takes on f8 with check,Mate in 0 for Black,,21. Rxf8# 
